name,address,categories,rating,user_ratings_total,place_id,lat,lng,sources
.,"66658 Pesquería, Nuevo Leon, 墨西哥",医疗/中医,5,1,ChIJaSA3K7zmYoYR3o4DnSJk5OQ,25.7726642,-100.0107598,诊所｜蒙特雷
.,"Valle de Las Brisas 507, Real del Valle Primer Sector, 66350 Cdad. Santa Catarina, N.L., 墨西哥",美容/美发/美甲,,,ChIJDybXx6CZYoYRIxNToX-prwY,25.672227,-100.4727819,美容｜蒙特雷
1117 SALON&BARBER,"Salto del Agua 9A, Cd Satélite, 64960 Monterrey, N.L., 墨西哥",美容/美发/美甲,4.8,37,ChIJ2eHlpLy_YoYRvODSa96a70g,25.6043021,-100.2688286,理发｜蒙特雷
12 Korean bbq mattzip 몬테레이 12 맛집,"Av. Miguel Alemán, El Milagro, 66637 Cdad. Apodaca, N.L., 墨西哥",餐饮,4.5,168,ChIJrY1XdzDrYoYRyev5trS1tAM,25.7537571,-100.1966302,烧烤｜蒙特雷
7 ELEVEN,"Ing. Luis M. García L. 131, Quince de Mayo (Larralde), 64987 Monterrey, N.L., 墨西哥",零售/超市,,,ChIJ0TlXWADHYoYRq7Xm7w_BNl8,25.5524535,-100.2303068,便利店｜蒙特雷
7-Eleven,"Benito Juárez Ote. 103, Iturbide, 66420 San Nicolás de los Garza, N.L., 墨西哥",零售/超市,3.9,7,ChIJ5VmkdByVYoYRREOST3KqYNs,25.7532678,-100.2982011,便利店｜蒙特雷
7-Eleven,"Cam. Al Mirador 5360, Jardines del Paseo 2o. Sector, 64920 Monterrey, N.L., 墨西哥",零售/超市,4.8,5,ChIJub5fUAG_YoYR5oJYqqYCLZs,25.6240037,-100.3000522,便利店｜蒙特雷
7-Eleven,"Cam. a Jardines de La Silla 301-A, Las Palmas, 64840 Guadalupe, N.L., 墨西哥",零售/超市,4.3,18,ChIJVeFsw5nBYoYRR_S1liPYuto,25.648066,-100.1886399,便利店｜蒙特雷
7-Eleven,"Carretera Mty, Graciano Sanchez, C. Reynosa Km 33, Sin Numero, 64890 Cadereyta Jiménez, N.L., 墨西哥",零售/超市,4.1,22,ChIJNb8cWE3ZYoYR6372f1_SKe4,25.6035591,-99.9798378,便利店｜蒙特雷 | 食品店｜蒙特雷
7-Eleven,"Encino Rojo 8620, 64979 Monterrey, N.L., 墨西哥",零售/超市,4.4,5,ChIJ-z-p5FG_YoYR5Q1VbE9Fz8M,25.5904165,-100.2706944,便利店｜蒙特雷
7-Eleven,"P.º del Acueducto 6236, Acueducto Satélite, 64960 Monterrey, N.L., 墨西哥",零售/超市,4.3,145,ChIJL-a1r5m_YoYRU1N3qQt9QSE,25.6042509,-100.2749202,便利店｜蒙特雷
7-Eleven,"Paseo del Acueducto 2801, 64910 Monterrey, N.L., 墨西哥",零售/超市,4.2,108,ChIJs-mkmX2_YoYRzhAgfUC7Cz8,25.619841,-100.2959967,便利店｜蒙特雷
